userId;Aventura;Fantas¡a;Animaci¢n;Drama;Terror;Acción;Comedia;Historica;Oeste;Suspense;Crimen;Documental;Ciencia ficción;Misterio;Musical;Romance;Familiar;Guerra;Extranjera;TV
1;0.0;0.0;0.0;2.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
2;4.0;2.0;1.0;15.0;2.0;5.0;8.0;0.0;0.0;5.0;6.0;1.0;4.0;3.0;1.0;4.0;2.0;0.0;0.0;0.0
3;1.0;1.0;0.0;7.0;2.0;1.0;2.0;0.0;0.0;3.0;4.0;0.0;1.0;3.0;0.0;0.0;1.0;0.0;0.0;1.0
4;9.0;5.0;2.0;42.0;7.0;18.0;15.0;2.0;0.0;23.0;13.0;0.0;13.0;6.0;3.0;13.0;3.0;3.0;1.0;0.0
5;2.0;4.0;0.0;16.0;6.0;4.0;11.0;1.0;2.0;8.0;6.0;3.0;3.0;3.0;1.0;5.0;2.0;0.0;1.0;0.0
6;2.0;1.0;0.0;9.0;0.0;4.0;4.0;0.0;1.0;5.0;3.0;1.0;1.0;0.0;0.0;2.0;1.0;0.0;0.0;1.0
7;4.0;3.0;0.0;16.0;3.0;3.0;1.0;1.0;0.0;3.0;4.0;0.0;1.0;4.0;2.0;3.0;1.0;0.0;0.0;0.0
8;1.0;0.0;1.0;12.0;2.0;6.0;8.0;0.0;1.0;6.0;2.0;0.0;2.0;2.0;1.0;6.0;1.0;0.0;0.0;0.0
9;2.0;2.0;0.0;9.0;1.0;5.0;5.0;0.0;0.0;5.0;3.0;1.0;3.0;3.0;1.0;1.0;0.0;0.0;0.0;0.0
10;2.0;1.0;0.0;4.0;2.0;2.0;2.0;1.0;0.0;0.0;1.0;0.0;2.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0
11;0.0;0.0;0.0;3.0;1.0;2.0;0.0;1.0;0.0;2.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
12;3.0;1.0;1.0;4.0;0.0;2.0;2.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0
13;1.0;3.0;2.0;8.0;2.0;1.0;4.0;0.0;1.0;4.0;2.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0
14;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0
15;34.0;23.0;5.0;142.0;30.0;49.0;80.0;15.0;6.0;79.0;48.0;6.0;25.0;24.0;12.0;61.0;21.0;10.0;4.0;3.0
16;0.0;0.0;0.0;7.0;0.0;0.0;3.0;0.0;0.0;4.0;2.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0
17;13.0;5.0;0.0;41.0;9.0;16.0;18.0;2.0;5.0;28.0;16.0;0.0;10.0;9.0;0.0;10.0;3.0;3.0;0.0;1.0
18;7.0;3.0;0.0;4.0;4.0;6.0;4.0;0.0;0.0;5.0;3.0;1.0;3.0;5.0;1.0;1.0;0.0;1.0;0.0;0.0
19;20.0;9.0;5.0;76.0;13.0;30.0;35.0;5.0;1.0;45.0;34.0;3.0;16.0;21.0;3.0;24.0;12.0;0.0;0.0;0.0
20;3.0;3.0;0.0;16.0;2.0;4.0;6.0;0.0;0.0;9.0;8.0;0.0;4.0;4.0;0.0;4.0;1.0;0.0;0.0;0.0
21;9.0;4.0;3.0;28.0;6.0;11.0;10.0;1.0;0.0;16.0;12.0;1.0;8.0;7.0;2.0;12.0;5.0;1.0;0.0;0.0
22;6.0;4.0;0.0;28.0;4.0;8.0;15.0;3.0;1.0;11.0;11.0;0.0;5.0;5.0;2.0;11.0;3.0;0.0;0.0;2.0
23;24.0;13.0;5.0;73.0;20.0;31.0;48.0;2.0;6.0;42.0;21.0;4.0;17.0;16.0;9.0;24.0;12.0;0.0;2.0;2.0
24;1.0;0.0;0.0;4.0;0.0;3.0;1.0;0.0;0.0;3.0;2.0;0.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0
25;2.0;1.0;0.0;5.0;1.0;3.0;2.0;2.0;0.0;3.0;1.0;0.0;1.0;2.0;1.0;1.0;1.0;0.0;0.0;0.0
26;1.0;2.0;1.0;11.0;1.0;5.0;10.0;1.0;0.0;8.0;4.0;0.0;4.0;2.0;0.0;4.0;2.0;1.0;3.0;1.0
27;0.0;0.0;0.0;5.0;0.0;3.0;2.0;0.0;0.0;4.0;2.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0
28;5.0;4.0;2.0;9.0;4.0;4.0;6.0;0.0;0.0;3.0;2.0;1.0;1.0;3.0;1.0;4.0;4.0;0.0;0.0;0.0
29;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
30;33.0;19.0;10.0;125.0;28.0;37.0;67.0;13.0;7.0;64.0;41.0;3.0;31.0;21.0;9.0;43.0;21.0;9.0;2.0;1.0
31;1.0;0.0;0.0;9.0;2.0;7.0;5.0;0.0;1.0;8.0;5.0;0.0;3.0;2.0;0.0;4.0;0.0;0.0;1.0;0.0
32;2.0;3.0;0.0;7.0;3.0;3.0;2.0;0.0;0.0;2.0;2.0;0.0;4.0;2.0;1.0;3.0;1.0;0.0;0.0;0.0
33;4.0;3.0;0.0;18.0;2.0;5.0;11.0;0.0;0.0;7.0;2.0;0.0;3.0;0.0;1.0;7.0;1.0;0.0;0.0;2.0
34;5.0;3.0;2.0;25.0;6.0;7.0;10.0;0.0;2.0;13.0;11.0;2.0;8.0;4.0;5.0;10.0;2.0;1.0;0.0;0.0
35;0.0;0.0;1.0;4.0;0.0;1.0;4.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0
36;4.0;5.0;1.0;27.0;4.0;10.0;12.0;0.0;1.0;14.0;10.0;1.0;5.0;6.0;1.0;7.0;4.0;0.0;0.0;0.0
37;1.0;2.0;0.0;3.0;0.0;2.0;1.0;0.0;0.0;4.0;3.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0
38;1.0;1.0;0.0;11.0;1.0;4.0;6.0;0.0;0.0;6.0;4.0;0.0;2.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0
39;4.0;1.0;0.0;13.0;3.0;5.0;5.0;0.0;1.0;6.0;6.0;1.0;4.0;4.0;3.0;4.0;1.0;1.0;0.0;0.0
40;0.0;0.0;0.0;0.0;0.0;2.0;5.0;0.0;1.0;2.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0
41;8.0;2.0;0.0;14.0;3.0;6.0;8.0;2.0;0.0;8.0;6.0;1.0;5.0;5.0;1.0;4.0;3.0;1.0;0.0;0.0
42;1.0;0.0;0.0;3.0;1.0;5.0;3.0;0.0;1.0;6.0;2.0;0.0;1.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0
43;4.0;2.0;1.0;14.0;3.0;3.0;10.0;1.0;0.0;5.0;3.0;0.0;3.0;4.0;1.0;5.0;2.0;0.0;0.0;0.0
44;1.0;0.0;0.0;5.0;3.0;0.0;2.0;0.0;0.0;1.0;1.0;1.0;1.0;3.0;2.0;2.0;1.0;1.0;0.0;0.0
45;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
46;1.0;0.0;0.0;3.0;0.0;2.0;2.0;0.0;1.0;3.0;2.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
47;4.0;0.0;0.0;5.0;0.0;2.0;2.0;0.0;1.0;4.0;3.0;0.0;4.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0
48;6.0;7.0;3.0;35.0;4.0;17.0;21.0;2.0;7.0;14.0;14.0;3.0;8.0;7.0;4.0;12.0;8.0;2.0;4.0;2.0
49;7.0;2.0;1.0;17.0;1.0;2.0;6.0;1.0;0.0;4.0;5.0;1.0;5.0;4.0;3.0;5.0;4.0;0.0;0.0;0.0
50;4.0;2.0;0.0;7.0;3.0;4.0;3.0;0.0;0.0;7.0;2.0;2.0;4.0;0.0;1.0;2.0;1.0;0.0;0.0;0.0
51;0.0;1.0;0.0;3.0;0.0;2.0;4.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;4.0;1.0;0.0;0.0;0.0
52;3.0;2.0;0.0;4.0;0.0;3.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0
53;3.0;2.0;0.0;5.0;0.0;3.0;1.0;0.0;1.0;4.0;4.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0
54;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0
55;4.0;1.0;0.0;5.0;1.0;5.0;4.0;0.0;0.0;5.0;2.0;0.0;2.0;4.0;0.0;0.0;1.0;0.0;0.0;0.0
56;7.0;6.0;5.0;38.0;10.0;15.0;22.0;6.0;4.0;23.0;13.0;4.0;9.0;7.0;7.0;10.0;7.0;4.0;1.0;0.0
57;9.0;7.0;1.0;35.0;6.0;14.0;12.0;1.0;0.0;20.0;7.0;2.0;5.0;10.0;3.0;12.0;2.0;0.0;0.0;0.0
58;3.0;2.0;0.0;9.0;1.0;7.0;2.0;1.0;0.0;5.0;3.0;0.0;2.0;2.0;0.0;1.0;2.0;1.0;0.0;0.0
59;3.0;1.0;1.0;16.0;1.0;6.0;11.0;1.0;2.0;9.0;4.0;1.0;3.0;3.0;1.0;6.0;0.0;0.0;0.0;0.0
60;2.0;0.0;0.0;10.0;0.0;3.0;3.0;0.0;1.0;6.0;6.0;1.0;3.0;2.0;1.0;2.0;1.0;0.0;0.0;0.0
61;4.0;3.0;2.0;14.0;7.0;7.0;8.0;0.0;2.0;10.0;6.0;1.0;5.0;4.0;2.0;2.0;5.0;0.0;2.0;0.0
62;1.0;0.0;0.0;2.0;0.0;2.0;4.0;1.0;1.0;3.0;1.0;1.0;0.0;1.0;0.0;3.0;0.0;0.0;1.0;0.0
63;3.0;1.0;0.0;9.0;1.0;9.0;2.0;0.0;2.0;8.0;4.0;0.0;1.0;3.0;0.0;2.0;0.0;0.0;0.0;0.0
64;4.0;0.0;0.0;6.0;0.0;2.0;1.0;0.0;0.0;4.0;2.0;0.0;4.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0
65;2.0;1.0;1.0;3.0;1.0;2.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;2.0;1.0;0.0;0.0;0.0
66;4.0;2.0;0.0;3.0;1.0;5.0;4.0;0.0;0.0;5.0;1.0;0.0;3.0;2.0;1.0;1.0;1.0;0.0;0.0;0.0
67;5.0;4.0;1.0;23.0;3.0;9.0;3.0;1.0;1.0;11.0;8.0;0.0;4.0;5.0;2.0;7.0;1.0;1.0;0.0;0.0
68;3.0;0.0;1.0;20.0;3.0;6.0;5.0;0.0;2.0;11.0;8.0;0.0;2.0;6.0;0.0;8.0;2.0;0.0;1.0;0.0
69;3.0;2.0;1.0;9.0;1.0;4.0;6.0;0.0;2.0;6.0;5.0;0.0;1.0;2.0;0.0;2.0;1.0;0.0;0.0;0.0
70;9.0;5.0;1.0;13.0;3.0;7.0;5.0;1.0;0.0;12.0;5.0;1.0;3.0;6.0;3.0;5.0;4.0;0.0;0.0;1.0
71;1.0;0.0;0.0;2.0;1.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
72;0.0;2.0;0.0;12.0;4.0;5.0;12.0;0.0;1.0;7.0;8.0;0.0;3.0;3.0;0.0;5.0;0.0;0.0;0.0;0.0
73;33.0;15.0;5.0;117.0;23.0;53.0;69.0;10.0;5.0;67.0;42.0;8.0;33.0;22.0;10.0;44.0;18.0;9.0;4.0;5.0
74;0.0;0.0;0.0;6.0;2.0;1.0;3.0;0.0;0.0;6.0;3.0;0.0;3.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0
75;6.0;0.0;0.0;22.0;2.0;7.0;6.0;0.0;1.0;13.0;7.0;1.0;2.0;4.0;3.0;5.0;1.0;0.0;0.0;2.0
76;0.0;0.0;1.0;3.0;0.0;2.0;2.0;0.0;0.0;3.0;0.0;1.0;1.0;0.0;1.0;2.0;1.0;0.0;0.0;0.0
77;11.0;6.0;0.0;33.0;6.0;15.0;19.0;1.0;2.0;18.0;10.0;2.0;6.0;7.0;5.0;11.0;3.0;1.0;0.0;1.0
78;7.0;4.0;1.0;33.0;6.0;13.0;20.0;1.0;1.0;18.0;11.0;1.0;8.0;8.0;2.0;7.0;4.0;0.0;0.0;0.0
79;1.0;1.0;0.0;2.0;2.0;3.0;1.0;0.0;0.0;2.0;1.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0
80;4.0;2.0;0.0;9.0;1.0;3.0;3.0;2.0;0.0;3.0;2.0;1.0;2.0;4.0;0.0;1.0;1.0;2.0;0.0;0.0
81;6.0;2.0;0.0;21.0;1.0;4.0;9.0;1.0;2.0;6.0;5.0;1.0;3.0;4.0;1.0;10.0;1.0;1.0;1.0;0.0
82;3.0;0.0;0.0;6.0;0.0;4.0;2.0;0.0;1.0;5.0;3.0;1.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
83;5.0;1.0;3.0;21.0;6.0;7.0;11.0;2.0;0.0;8.0;5.0;3.0;4.0;6.0;3.0;4.0;3.0;1.0;0.0;0.0
84;1.0;1.0;0.0;4.0;2.0;1.0;4.0;0.0;1.0;3.0;2.0;0.0;1.0;3.0;0.0;3.0;0.0;0.0;0.0;0.0
85;9.0;5.0;0.0;21.0;2.0;10.0;8.0;1.0;1.0;11.0;9.0;3.0;8.0;1.0;1.0;6.0;2.0;1.0;0.0;0.0
86;18.0;8.0;3.0;35.0;4.0;25.0;15.0;1.0;1.0;26.0;15.0;1.0;11.0;11.0;4.0;12.0;6.0;2.0;0.0;0.0
87;4.0;1.0;0.0;7.0;0.0;3.0;2.0;1.0;0.0;3.0;0.0;0.0;3.0;3.0;2.0;2.0;0.0;1.0;0.0;0.0
88;6.0;6.0;2.0;33.0;6.0;13.0;16.0;1.0;1.0;20.0;8.0;4.0;8.0;5.0;2.0;13.0;2.0;0.0;1.0;0.0
89;2.0;1.0;0.0;8.0;1.0;3.0;3.0;1.0;0.0;6.0;4.0;0.0;1.0;2.0;0.0;2.0;2.0;0.0;0.0;0.0
90;1.0;1.0;0.0;10.0;2.0;2.0;3.0;2.0;0.0;3.0;2.0;0.0;2.0;4.0;0.0;1.0;0.0;1.0;0.0;0.0
91;0.0;0.0;3.0;6.0;2.0;8.0;5.0;0.0;2.0;7.0;2.0;1.0;1.0;4.0;0.0;1.0;2.0;0.0;1.0;0.0
92;9.0;5.0;1.0;24.0;2.0;11.0;8.0;0.0;1.0;13.0;9.0;1.0;7.0;5.0;2.0;7.0;3.0;0.0;0.0;0.0
93;7.0;5.0;2.0;25.0;7.0;6.0;11.0;1.0;1.0;11.0;8.0;1.0;3.0;8.0;3.0;7.0;2.0;1.0;0.0;0.0
94;3.0;1.0;0.0;19.0;4.0;7.0;16.0;0.0;1.0;12.0;7.0;2.0;4.0;2.0;4.0;5.0;2.0;1.0;2.0;0.0
95;5.0;6.0;0.0;35.0;4.0;14.0;18.0;0.0;2.0;18.0;11.0;1.0;4.0;7.0;5.0;14.0;5.0;2.0;0.0;0.0
96;1.0;0.0;0.0;7.0;3.0;1.0;6.0;1.0;0.0;2.0;5.0;0.0;2.0;1.0;0.0;3.0;1.0;0.0;0.0;0.0
97;4.0;2.0;1.0;23.0;2.0;9.0;13.0;1.0;1.0;6.0;10.0;0.0;3.0;3.0;1.0;8.0;4.0;1.0;2.0;0.0
98;1.0;0.0;1.0;5.0;1.0;1.0;6.0;0.0;0.0;2.0;2.0;0.0;1.0;0.0;0.0;5.0;1.0;0.0;0.0;0.0
99;8.0;5.0;0.0;24.0;5.0;9.0;16.0;1.0;0.0;11.0;6.0;2.0;8.0;4.0;1.0;9.0;2.0;1.0;0.0;1.0
100;3.0;1.0;0.0;6.0;0.0;2.0;1.0;0.0;0.0;3.0;0.0;1.0;2.0;4.0;2.0;2.0;0.0;1.0;0.0;0.0
101;5.0;2.0;0.0;7.0;0.0;5.0;6.0;0.0;1.0;7.0;5.0;0.0;2.0;1.0;1.0;4.0;1.0;0.0;0.0;0.0
102;27.0;20.0;7.0;102.0;20.0;46.0;43.0;7.0;6.0;54.0;37.0;3.0;23.0;17.0;4.0;34.0;13.0;7.0;0.0;1.0
103;2.0;1.0;0.0;11.0;0.0;1.0;7.0;0.0;0.0;3.0;4.0;0.0;2.0;1.0;1.0;4.0;4.0;1.0;0.0;0.0
104;0.0;1.0;0.0;5.0;1.0;5.0;1.0;0.0;0.0;7.0;1.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
105;19.0;8.0;0.0;60.0;8.0;18.0;27.0;2.0;2.0;27.0;19.0;3.0;17.0;9.0;4.0;21.0;11.0;3.0;1.0;1.0
106;2.0;0.0;0.0;4.0;5.0;2.0;3.0;0.0;0.0;3.0;3.0;0.0;4.0;2.0;0.0;1.0;0.0;0.0;0.0;1.0
107;0.0;0.0;0.0;6.0;1.0;1.0;3.0;0.0;0.0;2.0;2.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0
108;1.0;1.0;0.0;6.0;2.0;1.0;1.0;0.0;1.0;2.0;3.0;0.0;2.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0
109;1.0;1.0;0.0;7.0;0.0;1.0;3.0;0.0;0.0;5.0;4.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0
110;8.0;4.0;1.0;22.0;3.0;10.0;9.0;0.0;0.0;16.0;15.0;3.0;7.0;7.0;4.0;5.0;4.0;0.0;0.0;0.0
111;14.0;9.0;2.0;40.0;9.0;20.0;22.0;2.0;1.0;24.0;8.0;1.0;11.0;9.0;4.0;14.0;6.0;3.0;1.0;1.0
112;1.0;1.0;0.0;3.0;1.0;2.0;0.0;0.0;0.0;3.0;0.0;0.0;2.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0
113;3.0;0.0;0.0;4.0;0.0;3.0;1.0;1.0;0.0;2.0;3.0;0.0;2.0;1.0;1.0;0.0;1.0;2.0;0.0;0.0
114;2.0;1.0;0.0;7.0;1.0;2.0;4.0;0.0;1.0;1.0;2.0;1.0;2.0;2.0;1.0;0.0;1.0;0.0;0.0;0.0
115;1.0;0.0;0.0;4.0;0.0;2.0;2.0;0.0;0.0;4.0;2.0;0.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0
116;0.0;0.0;0.0;1.0;0.0;2.0;1.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
117;0.0;0.0;0.0;6.0;3.0;1.0;2.0;0.0;0.0;5.0;3.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
118;5.0;3.0;1.0;29.0;3.0;9.0;9.0;0.0;1.0;14.0;13.0;1.0;4.0;5.0;3.0;8.0;3.0;0.0;0.0;0.0
119;27.0;13.0;6.0;94.0;16.0;36.0;45.0;5.0;2.0;46.0;36.0;4.0;21.0;22.0;9.0;31.0;14.0;1.0;0.0;1.0
120;3.0;2.0;1.0;18.0;2.0;6.0;12.0;0.0;0.0;6.0;6.0;1.0;5.0;1.0;2.0;7.0;3.0;1.0;0.0;0.0
121;7.0;3.0;1.0;20.0;5.0;9.0;7.0;0.0;0.0;14.0;11.0;0.0;7.0;5.0;0.0;3.0;3.0;1.0;0.0;0.0
122;4.0;1.0;0.0;10.0;2.0;4.0;3.0;0.0;0.0;6.0;4.0;1.0;5.0;3.0;1.0;2.0;1.0;0.0;0.0;0.0
123;0.0;0.0;0.0;7.0;1.0;2.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
124;1.0;1.0;0.0;10.0;0.0;3.0;4.0;1.0;2.0;6.0;3.0;1.0;2.0;1.0;1.0;3.0;0.0;0.0;1.0;0.0
125;6.0;4.0;3.0;26.0;3.0;14.0;15.0;0.0;1.0;17.0;13.0;2.0;5.0;5.0;0.0;9.0;5.0;1.0;2.0;1.0
126;5.0;3.0;1.0;16.0;3.0;7.0;6.0;1.0;0.0;9.0;7.0;1.0;4.0;3.0;1.0;4.0;1.0;1.0;0.0;0.0
127;0.0;0.0;0.0;9.0;1.0;0.0;5.0;0.0;0.0;5.0;4.0;1.0;0.0;1.0;1.0;6.0;0.0;0.0;0.0;0.0
128;8.0;8.0;0.0;40.0;7.0;19.0;20.0;1.0;1.0;22.0;15.0;1.0;7.0;11.0;0.0;16.0;7.0;1.0;1.0;0.0
129;1.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0
130;12.0;7.0;2.0;61.0;8.0;19.0;25.0;0.0;5.0;29.0;17.0;4.0;10.0;9.0;8.0;18.0;5.0;2.0;0.0;0.0
131;1.0;0.0;0.0;5.0;0.0;2.0;3.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0
132;2.0;1.0;0.0;11.0;1.0;3.0;6.0;1.0;0.0;4.0;4.0;1.0;2.0;0.0;1.0;4.0;0.0;1.0;0.0;0.0
133;3.0;1.0;0.0;18.0;1.0;7.0;7.0;1.0;1.0;7.0;5.0;1.0;3.0;2.0;1.0;4.0;3.0;0.0;1.0;1.0
